num,addresse,branche_abbrev,filiere,company,description,etudiant,niveau_abbrev,semestre_annee,semestre,sujet,tuteur,stage_reel
7113,"67, rue de Durand
02 173 Baudry-la-Forêt",GB,Optio animi sunt sequi deleniti occaecati eos.,Descamps,Blanditiis sed in voluptatum sit. Animi illum assumenda quod aut libero. Quisquam cupiditate dolores unde est et. Necessitatibus blanditiis modi velit et voluptatem.,Antoine de Lejeune,TN09,1996,A,Et possimus rerum sed omnis exercitationem.,Gilles-Virginie Charles,False
1339,"avenue de Leclerc
12992 Rey",GB,Dolores ipsam pariatur cumque.,Roux,Vel aperiam quo minima ut. Qui sapiente est est unde quod et. Autem consectetur enim id atque et et eos. Quo sint incidunt harum eum.,Alfred de Lemoine,TN05,1976,P,Minus magni et cupiditate officia.,Joseph Delattre,False
6309,"53, rue Marechal
40 196 BarbeVille",GI,Et adipisci alias consequuntur totam tenetur facilis.,Guillon,Qui qui repudiandae iure explicabo non. Ea nesciunt amet assumenda neque ut. Est laudantium dolorem odio totam aliquam. Quaerat quasi odit exercitationem saepe.,Maggie Richard,TN05,1989,P,Minus autem consequatur est voluptate accusantium mollitia aut autem.,André Toussaint,False
2752,"84, avenue Maurice
51 742 Bodin-la-Forêt",GP,Aut enim dicta omnis sint necessitatibus autem.,Simon S.A.,Consequatur dolor quam mollitia repellat autem voluptatem porro. Provident et commodi modi sit dolorem. Odio enim sit voluptatem ea commodi. Voluptatum ut sit sit.,Jacques Morin,TN09,1981,P,Aut porro voluptatem dolore rerum est placeat ipsam et.,Philippine Benoit,False
6497,"93, chemin Geneviève Tessier
79619 Baudry",GB,Veniam quidem similique soluta distinctio ab id.,Leduc,Repellat quisquam earum rerum. Vero voluptate suscipit mollitia ut quasi exercitationem recusandae perferendis.,Diane-Camille Gimenez,TN05,2010,A,Voluptate pariatur labore nihil.,Frédéric Cordier,False
8583,"587, boulevard Martin
99165 Loiseau-sur-Pineau",GB,Voluptatem quo quibusdam dolorem reiciendis similique.,Legrand Lenoir S.A.R.L.,Perspiciatis incidunt eos nulla minima accusamus consequuntur. Excepturi quod non rem repellendus quae libero enim molestiae.,Hortense Thierry,TN09,1997,P,Nobis voluptatem eaque id nobis.,Agnès Pelletier,True
7972,"805, boulevard Thérèse Boutin
94754 Allaindan",GB,Velit dignissimos excepturi sequi incidunt vero.,Martin,Voluptatum deleniti ea quibusdam non voluptas. Nam commodi impedit eveniet ea voluptas. Nihil tempore impedit sit vitae in.,Eugène Delorme-Legendre,TN09,1971,A,Et aliquam doloribus exercitationem quas quo.,Julie Laroche,True
458,"42, chemin Caroline Courtois
51 757 Legendre",GP,Voluptates aut blanditiis voluptatem sit et.,Leclerc Leblanc S.A.R.L.,Similique quia molestiae aut perspiciatis voluptate. Rerum debitis sunt at nesciunt laboriosam. Laborum eius minus labore voluptatibus voluptas ducimus et.,Michel Durand,TN09,2014,P,Aspernatur vel quaerat quia illo quae facere nemo.,Alfred Raymond-Hubert,False
4789,"30, rue de Bernard
93 274 Guillou-sur-Mer",GP,Quae aut quis enim autem porro.,Denis S.A.R.L.,Animi laboriosam voluptatem ducimus. Dolorum atque fugit et. Nihil possimus qui expedita aliquam aliquid. Autem aliquid eos velit eos.,Gabriel du Gautier,TN10,1993,P,Et temporibus voluptate aut sequi.,Amélie Grondin,False
5706,"46, chemin Anaïs Perrot
33288 Laporte",GB,Illo et aut dolorem rerum.,Peltier S.A.R.L.,Exercitationem consectetur sint illum quae maxime quo. Beatae magnam et sint quae vel nihil quasi. Enim fugiat quos dolor eligendi molestiae omnis.,Philippine Leclercq,TN09,2013,P,Occaecati minima iusto nulla et possimus quia.,Charlotte-Geneviève Robin,False
8461,"2, avenue Alix Meunier
33434 PascalVille",GI,Neque voluptatum placeat omnis nostrum.,Etienne,Perferendis eligendi labore sit accusamus sequi unde. Voluptatem eveniet qui quibusdam soluta quas. Quod at odio veritatis cumque. Soluta minus provident natus voluptatem repellendus.,Pierre Rocher,TN05,2007,P,Eligendi possimus ipsum cum at animi quaerat.,Marcel Martinez,False
9270,"79, chemin de Martin
54 841 Durand",GI,Officiis et recusandae rerum saepe.,Bigot,Vel in incidunt quis neque debitis sit rem. Et facere doloremque nulla quasi voluptatem nihil vel. Est ut ea occaecati ullam et magni.,Louise Leclerc-Peltier,TN05,1971,P,Voluptates cupiditate unde et similique.,Christophe Rossi,False
318,"51, rue de Pascal
50131 Charles",GP,Exercitationem quaerat et et impedit vel atque.,Pereira S.A.S.,Tempore doloremque sit possimus minus dolores at. Iste at error laboriosam ut numquam. Ut tempora quidem doloribus. Nam nihil ipsa culpa consequatur.,Margot-Chantal Jacob,TN09,1970,A,Earum necessitatibus tenetur tempore asperiores assumenda.,Margaret Jourdan,False
18,"427, chemin Rossi
99 458 SchmittVille",GB,Beatae laudantium exercitationem aut sapiente.,Arnaud,Et ut animi sequi fugiat velit eos. Eum non pariatur soluta qui quod autem.,Véronique Parent,TN10,2010,P,Odit est fuga commodi quia.,Maggie Dumas,True
8669,"73, chemin Rolland
33 068 Briandnec",GP,Laboriosam voluptas porro et assumenda.,Toussaint,Aperiam et ut voluptatibus eveniet. Voluptas ut ipsum ab fuga recusandae. Pariatur iusto minima dolor veniam voluptatem. Aperiam reprehenderit enim qui omnis dolores aliquam.,Thierry Lefort,TN09,1974,P,Et sit molestiae sed sit odio.,David David,False
989,"52, chemin Augustin Chevalier
51 697 Antoinenec",GP,Molestias laborum quis temporibus possimus dignissimos.,Bernard,Hic et ipsam praesentium tempora. Rerum et soluta neque velit illo temporibus ea. Illum qui distinctio soluta aut non ipsum. Odio distinctio natus odio sapiente.,Aimée Mercier,TN09,2014,P,Ut minus illo porro aliquid dolores consectetur dolore.,Lucie Philippe,False
6667,"4, rue de Marty
87407 DurandVille",GP,Cumque qui error exercitationem.,Joseph Buisson S.A.R.L.,Consequuntur tempore non soluta quia dolor aliquid distinctio. Et soluta id est omnis. Quia reiciendis odit fugiat id eos delectus eaque atque. Corrupti quam soluta autem modi.,Amélie Texier,TN09,2007,P,Voluptatem possimus eos dolorem autem vel reiciendis et.,Margot Maury,True
948,"260, rue Aimé Parent
31 567 Humbert-sur-Mer",GI,Earum consequatur minima animi alias quisquam.,Bailly S.A.R.L.,Ullam nesciunt aut soluta dignissimos repellendus quae. In ab aspernatur officia voluptatem ducimus velit ut aut.,Suzanne Garcia,TN09,1997,A,Saepe corrupti mollitia atque atque et.,David Traore,False
9976,"61, rue de Vidal
95035 Couturier",GB,Labore id natus molestiae dolorem sed cum.,Antoine,Quis quasi in consequatur ea. In vitae accusantium aut aliquid aspernatur aut.,Rémy Chartier-Herve,TN10,1974,P,Autem cumque dolorem dolores necessitatibus omnis consequatur ab omnis.,François Jacquet,False
2577,"69, rue de Bertin
43 154 Samson",GB,Deserunt consequuntur quia non doloremque.,Boulay Imbert S.A.S.,Unde repellendus dolores et. Rerum suscipit dicta eum aut. Quae ipsum ut blanditiis aut ut quos aut. Soluta ut nihil aut illo dolorum.,Laurence Deschamps,TN05,1997,A,Sint doloremque rerum perspiciatis ea.,Alfred Leduc,False
9746,"766, rue Dupuis
27958 Aubert-sur-Mathieu",GB,Sint quos nobis repudiandae tempore dolorem non.,Grenier Morin SARL,Id corrupti fugiat ipsum possimus officia molestias. Nemo a aspernatur debitis laudantium non reprehenderit. Quia aut nemo fugiat qui autem dolor iste.,Patricia Poirier-Payet,TN05,1982,A,Aspernatur et qui fugiat consequatur consequatur expedita officia.,Gabrielle du Allard,False
6744,"63, avenue Neveu
22274 Hebert",GI,Sunt ut est dolore aut.,Traore,Id doloribus qui asperiores dolorem sit iusto. Et vitae aliquid amet et. Excepturi non nulla at nam dolorem.,Françoise Monnier,TN09,1971,P,Qui distinctio et placeat deleniti explicabo.,Patrick Paris,False
1412,"60, avenue de Dubois
92648 Massondan",GP,Repellat similique et quis et.,Charpentier,Vel fugit asperiores nisi ad recusandae non expedita animi. Natus commodi velit libero doloribus accusamus. Et vel voluptas soluta nulla.,Josette Huet,TN10,1979,P,Iusto magni deserunt asperiores nam dolorem aut ea.,Gilbert Brunet,True
